"age","ID"
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.440427036386233,101
NA,101
0.345689916979224,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.289004827013894,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.405406679020802,101
0.285616986790297,101
NA,101
NA,101
NA,101
NA,101
0.29608598252309,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.368947963496976,101
NA,101
NA,101
NA,101
NA,101
0.266059568762479,101
NA,101
0.288963573378228,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.26967375786289,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.266067283262608,101
NA,101
0.347603043882093,101
0.353253265376683,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.415460584263747,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.278619237965231,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.289329227129661,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.270621947875333,101
NA,101
NA,101
NA,101
NA,101
0.267746523175246,101
0.271600803117346,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.281109181147902,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.285420779283162,101
0.317232538563594,101
NA,101
NA,101
0.32828732976637,101
0.471271970715814,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.565352100824399,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.306169306902884,101
0.514116000905966,101
0.326664849625224,101
0.270641599044983,101
NA,101
NA,101
0.264925207179056,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.274475109093303,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.297058280113335,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.273800409416495,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.329808585980815,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.291822809762452,101
NA,101
0.320354013318957,101
NA,101
NA,101
NA,101
NA,101
0.481211772450367,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
0.304686571575305,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
NA,101
