age,ID,Condition,age,ID,Condition,age,ID,Condition
-0.18542072551717673,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.016638078388963567,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
-0.07106635511954114,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.4432777009135512,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
-0.8356551919707226,sub-MBRC01AAF,individual,-0.8356551919707226,sub-MBRC01AAF,individual,-0.8356551919707226,sub-MBRC01AAF,individual
-0.5719755334329815,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.1813936892113058,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
-0.8644998058030666,sub-MBRC01AAF,individual,-0.8644998058030666,sub-MBRC01AAF,individual,-0.8644998058030666,sub-MBRC01AAF,individual
-0.12200654437373512,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
-0.6201522586718745,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
-0.3423033451822077,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.9983764572454296,sub-MBRC01AAF,individual,0.9983764572454296,sub-MBRC01AAF,individual,0.9983764572454296,sub-MBRC01AAF,individual
0.18246384977308994,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.9970357565107952,sub-MBRC01AAF,individual,0.9970357565107952,sub-MBRC01AAF,individual,0.9970357565107952,sub-MBRC01AAF,individual
0.9983764572454296,sub-MBRC01AAF,individual,0.9983764572454296,sub-MBRC01AAF,individual,0.9983764572454296,sub-MBRC01AAF,individual
-0.07106635511954114,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual,NA,sub-MBRC01AAF,individual
0.03494907496734967,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.1844725901368447,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.554875710135435,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.038332951224873756,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.855426853251162,sub-MBRC01AAM,individual,-0.855426853251162,sub-MBRC01AAM,individual,-0.855426853251162,sub-MBRC01AAM,individual
0.2620813316928166,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.3834489346336411,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.16577059770973412,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.10352740611487203,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.25307470711022195,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.423012126088635,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.1134690755115328,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.6709582537983818,sub-MBRC01AAM,individual,0.6709582537983818,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.888219553198949,sub-MBRC01AAM,individual,-0.888219553198949,sub-MBRC01AAM,individual,-0.888219553198949,sub-MBRC01AAM,individual
0.05298989147777574,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.08787328886998677,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.03494907496734967,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.888219553198949,sub-MBRC01AAM,individual,-0.888219553198949,sub-MBRC01AAM,individual,-0.888219553198949,sub-MBRC01AAM,individual
0.056106259652767165,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.94970288471497,sub-MBRC01AAM,individual,-0.94970288471497,sub-MBRC01AAM,individual,-0.94970288471497,sub-MBRC01AAM,individual
-0.2271898627190794,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.29941999383395945,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.33969638206435193,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.25307470711022195,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.09904451343049259,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.2271898627190794,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.423012126088635,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-5.788406269564445e-4,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.48084115647496645,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.48084115647496645,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
-0.004521357024256766,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
0.339356107102974,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual,NA,sub-MBRC01AAM,individual
